PRICE,LAPTOP_CONDITION,LAPTOP_BRAND,LAPTOP_MODEL,DEDICATED_GPU,GPU_GENERAL,GPU_INTEGRATED,CPU,RAM_SIZE,RAM_TYPE,SSD_SIZE,HDD_SIZE,STORAGE_SIZE,STORAGE_TYPE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,CITY,POST_YEAR,POST_MONTH
295000.0,Neuf jamais utilisé,INTEL,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,I7 14700HX,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"16"" ",NeedToBeFilled,NeedToBeFilled,Mohammadia,2025,7
20000.0,Bon état,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,4 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,,NeedToBeFilled,NeedToBeFilled,Bir el djir,2024,10
149000.0,Neuf jamais utilisé,DELL LATITUDE 5430,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,I5-12EME GEN 16GB/256GB NVME M.2 / WIN 11 PRO,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,256GO,SSD,"14"" ",NeedToBeFilled,NeedToBeFilled,El achour,2025,8
87000.0,Etat neuf,Lenovo,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,Ryzen 7 Pro 4750,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"14"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2025,7
50000.0,Etat moyen,appel,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,I3,8 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,256GO,SSD,"13"" ",NeedToBeFilled,NeedToBeFilled,,2024,9
30.0,Neuf jamais utilisé,Dtech,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,Intel Atom x5-E8000 @ 1.04GHz,4 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,HDD,"14"" ",NeedToBeFilled,NeedToBeFilled,Bologhine,2020,12
69000.0,Neuf jamais utilisé,GPD GAME PAD DIGITAL,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,Intel N4120,8 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,256GO,SSD,"6.0"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2025,8
120000.0,Etat neuf,HP,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,Ryzen 5 4600H jusqu'à 3ghz,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"15"" ",NeedToBeFilled,NeedToBeFilled,Ain mlila,2024,11
135000.0,Etat neuf,DELL,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,Intel® Core™ Ultra 5 135U,32 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"14"" ",NeedToBeFilled,NeedToBeFilled,Kouba,2025,7
,Neuf jamais utilisé,HP,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,"Intel Core i5-1335U (jusqu'à 4,6 GHz avec technologie Intel Turbo Boost, 12 Mo de cache L3, 10 cœurs, 12 threads)",16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"14"" ",NeedToBeFilled,NeedToBeFilled,Hussein dey,2025,4
,Bon état,DELL,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,i5-1135G7,8 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,256GO,SSD,"256"" ",NeedToBeFilled,NeedToBeFilled,Hussein dey,2024,9
8.0,Etat moyen,Hp,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,Autre,,NeedToBeFilled,NeedToBeFilled,Ain naadja,2025,7
145000.0,Bon état,Amd,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,Amd ryzen 5 pro 7535U,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,256GO,SSD,"14"" ",NeedToBeFilled,NeedToBeFilled,Kouba,2025,7
45000.0,Etat neuf,Dell latitude,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,i5 8350U  8th génération (3.6GHz Turbo max),8 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,256GO,SSD,"14"" ",NeedToBeFilled,NeedToBeFilled,El eulma,2025,8
,Bon état,Dell,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,Intel® Core™ i7 9850H 6 Cores 12M Cache Boost 4.5 GHz,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"156"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2025,4
60000.0,Bon état,Msi gamer,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,2 disques SSD + HDD,"17"" ",NeedToBeFilled,NeedToBeFilled,,2025,4
250000.0,Bon état,Asus,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,"AMD Ryzen 9 5900HS (8 cœurs – 16 threads, ultra puissant)",16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,1TGO,SSD,"15"" ",NeedToBeFilled,NeedToBeFilled,El eulma,2025,7
99000.0,Neuf jamais utilisé,APPLE,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,64GO,,,NeedToBeFilled,NeedToBeFilled,Kouba,2025,2
,Etat neuf,Asus,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,"Intel® Core™ i7-8550U ""8th Génération"" 9M Cache, up to 4.5GHz",16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"17.3"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2024,10
85000.0,Bon état,LENOVO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,I5 10210U,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"14"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2024,12
120000.0,Bon état,LENOVO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,I7-1165G7-2.80GHz,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,Interne : ccd 512GB/ externe hdd 512GBGO,2 disques SSD + HDD,"15.6"" ",NeedToBeFilled,NeedToBeFilled,El khroub,2024,9
33.0,Bon état,Dell,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,I5 5ème génération,8 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,256GO,SSD,"13"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2024,8
4450.0,,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,,NeedToBeFilled,NeedToBeFilled,Chlef,2025,5
78000.0,Etat neuf,Hp,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,I7-8650U,8 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"13"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2024,12
62000.0,Bon état,Asus Rog,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,i5 6eme,8 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,1256GO,2 disques SSD + HDD,"15.6"" ",NeedToBeFilled,NeedToBeFilled,Bouira,2024,11
1.0,Etat neuf,ENIGMA,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,I3 4GENERATION,4 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,128GO,SSD,,NeedToBeFilled,NeedToBeFilled,Birtouta,2025,8
43900.0,Bon état,HP,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,Intel i5,8 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,564GO,2 disques SSD + HDD,"14"" ",NeedToBeFilled,NeedToBeFilled,Oran,2024,11
30000.0,Etat neuf,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,2 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,,NeedToBeFilled,NeedToBeFilled,Boumerdes,2024,8
165000.0,Etat neuf,Samsung,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,intel core Ultra 5 125H @ 3.6 Ghz,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,1500GB SSDGO,SSD,"15"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2024,8
269000.0,Etat neuf,Hp,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,Intel core i7-14700Hx,32 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,1000GO,SSD,"16"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2025,7
178000.0,Neuf jamais utilisé,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,"Intel®️ Core™️ i7-1260P 12-Cores 16-Threads  18 Mo de cache, jusqu’à 4,70 GHz",16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"13"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2024,7
209000.0,Etat neuf,Asus,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,Ryzen 9-6900HX,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"15"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2025,7
25000.0,Bon état,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,Intel i3,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,HDD,"15"" ",NeedToBeFilled,NeedToBeFilled,Tipaza,2025,2
42900.0,Neuf jamais utilisé,lenovo,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,,NeedToBeFilled,NeedToBeFilled,Oran,2024,11
148000.0,Neuf jamais utilisé,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,,NeedToBeFilled,NeedToBeFilled,Alger centre,2024,10
132000.0,Neuf jamais utilisé,Asus,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,AMD Ryzen 5 7520U,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"15"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2024,12
170000.0,Etat neuf,Macbook appel,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,500GO,SSD,"13.6"" ",NeedToBeFilled,NeedToBeFilled,Boukadir,2025,8
58000.0,Bon état,Lenovo,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,I5 10G,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,256GO,SSD,"17"" ",NeedToBeFilled,NeedToBeFilled,Draria,2024,12
345000.0,Etat neuf,ASUS,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,I9-14900HX,32 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,1000GO,SSD,"18"" ",NeedToBeFilled,NeedToBeFilled,Kouba,2025,8
200000.0,Neuf jamais utilisé,Lenovo,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,,NeedToBeFilled,NeedToBeFilled,Birkhadem,2025,4
128000.0,Neuf jamais utilisé,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,,NeedToBeFilled,NeedToBeFilled,Alger centre,2022,11
269000.0,Neuf jamais utilisé,Lenovo,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,10610U,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"14"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2023,6
143500.0,Neuf jamais utilisé,HP,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,"Intel® Core™i7-1355U (jusqu’à 5,0 GHz avec la technologie Intel® Turbo Boost, 12 Mo de mémoire cache L3, 10 cœurs, 12 threads)",8 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"15"" ",NeedToBeFilled,NeedToBeFilled,Hammamet,2025,8
25000.0,Etat neuf,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,,NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2024,9
500000.0,Neuf jamais utilisé,MSI,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,I9 14900HX,32 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,2000GO,SSD,"15"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2024,9
175000.0,Bon état,HP,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,"AMD Ryzen 5 8640HS 3,5GHz  6 Cores 12 Threads 16 Mo Cache.",16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"14"" ",NeedToBeFilled,NeedToBeFilled,Alger centre,2025,8
74000.0,Bon état,DELL,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,I5 8365U,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,256GO,SSD,"13"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2025,8
95000.0,Bon état,ASUS,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,I7 1165G7,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,1TBGO,SSD,"13"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2025,8
,Etat neuf,Apple,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"14"" ",NeedToBeFilled,NeedToBeFilled,Alger centre,2025,1
135000.0,Etat neuf,Asus,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,i5 i5-9300H,8 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,256GO,SSD,"15"" ",NeedToBeFilled,NeedToBeFilled,Tlemcen,2024,10
80000.0,Neuf jamais utilisé,Hp,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,Ryzen 5 Pro 5500U,14 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"15"" ",NeedToBeFilled,NeedToBeFilled,Alger centre,2025,7
295000.0,Neuf jamais utilisé,Hp,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,Ryzen 7 8845HS,32 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,2000GO,SSD,"15"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2025,8
79000.0,Bon état,DELL,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,I5 1245U,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,256GO,SSD,"14"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2025,8
112000.0,Etat neuf,DELL,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,Intel® Core™ i7-1265U Processor,32 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"14"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2025,7
,Bon état,Dell,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,Intel® Core™ i7 1185G7 4 Cores 12M Cache Boost 4.8 GHz,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"14"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2024,10
55000.0,Etat neuf,Lenovo thinkpad,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,I5 7300U 2.6 GHz,8 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,256GO,SSD,"15"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2024,9
0.0,Etat neuf,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,,NeedToBeFilled,NeedToBeFilled,Setif,2025,7
30.0,Etat neuf,Intel,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,Intel Core i9 10900K @ 3.70GHz,32 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,2 TBGO,SSD,"17"" ",NeedToBeFilled,NeedToBeFilled,Alger centre,2024,8
100000.0,Etat neuf,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,I5,8 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,128GO,SSD,"13"" ",NeedToBeFilled,NeedToBeFilled,Alger centre,2024,10
87700.0,Bon état,HP,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,"Intel® i3-8130U (8eme generation) ,4M Cache ,( 2,2",4 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,128GO,SSD,"14"" ",NeedToBeFilled,NeedToBeFilled,Djelfa,2021,7
60000.0,Bon état,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,I5 11ème génération,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,256 gb ssd nvmeGO,SSD,"14"" ",NeedToBeFilled,NeedToBeFilled,Ain benian,2024,12
35000.0,Bon état,Dell,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,i7 6éme génération,8 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,256GO,SSD,"14"" ",NeedToBeFilled,NeedToBeFilled,Gue de constantine,2025,8
2.0,Bon état,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,4 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,,NeedToBeFilled,NeedToBeFilled,Mohammadia,2024,8
185000.0,Etat neuf,HP,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,"Intel Core i7-11850h 08 coeurs, 016 threads, 24 Mb cache L3, jusqu'a 4.9 Ghz",32 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"15.6"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2024,1
56000.0,Etat neuf,HP,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,I3 11éme,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,SSD,"15.6"" ",NeedToBeFilled,NeedToBeFilled,Bachdjerrah,2025,7
72000.0,Neuf jamais utilisé,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,,,,NeedToBeFilled,NeedToBeFilled,Alger centre,2025,6
79000.0,Bon état,LENOVO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,I7 7600U,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"15"" ",NeedToBeFilled,NeedToBeFilled,Bab ezzouar,2025,3
190000.0,Neuf jamais utilisé,ASUS,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,AMD Ryzen 5 5600H,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,500GO,SSD,"15.6"" ",NeedToBeFilled,NeedToBeFilled,Ben aknoun,2024,8
153000.0,Bon état,Asus rog,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,i7-10870H,16 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,512GO,SSD,"15.6"" ",NeedToBeFilled,NeedToBeFilled,El harrouch,2025,5
1.0,Etat neuf,intel,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,i5 8gèn,8 GO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,256GO,SSD,"14"" ",NeedToBeFilled,NeedToBeFilled,Sidi okba,2024,9
