PRICE,LAPTOP_CONDITION,LAPTOP_BRAND,LAPTOP_MODEL,DEDICATED_GPU,GPU_GENERAL,GPU_INTEGRATED,CPU,RAM_SIZE,RAM_TYPE,SSD_SIZE,HDD_SIZE,STORAGE_SIZE,STORAGE_TYPE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,CITY,POST_YEAR,POST_MONTH
78000.0,Good Condition,LENOVO,THINKPAD,NVIDIA QUADRO P520,NeedToBeFilled,NeedToBeFilled,10TH GEN INTEL CORE I5 10310U,16GB,NeedToBeFilled,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,15.0,60Hz,Unknown,Unknown,2024,7
185000.0,Never Used (New),ACER,NITRO,NVIDIA GEFORCE RTX 3050,NeedToBeFilled,NeedToBeFilled,AMD RYZEN 7 7735HS,16GB,DDR5,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,15.6,144Hz,Unknown,Unknown,2025,6
123000.0,Good Condition,LENOVO,THINKPAD,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,8TH GEN INTEL CORE I5 8250U,8GB,NeedToBeFilled,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,Unknown,Unknown,2025,3
103000.0,Good Condition,DELL,LATITUDE,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,11TH GEN INTEL CORE I5 1145G7,16GB,NeedToBeFilled,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,13.3,60Hz,Unknown,Unknown,2024,11
197000.0,NeedToBeFilled,MICROSOFT,SURFACE,NVIDIA GEFORCE RTX 3070,NeedToBeFilled,NeedToBeFilled,AMD RYZEN 9 5900HX,32GB,DDR4,1000GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,15.6,144Hz,Unknown,Unknown,2025,4
153000.0,Never Used (New),DELL,LATITUDE,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,13TH GEN INTEL CORE I5 1345U,16GB,LPDDR5,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,1920x1080,Unknown,2025,8
65000.0,Good Condition,DELL,PRECISION,NVIDIA QUADRO M2000,NeedToBeFilled,NeedToBeFilled,6TH GEN INTEL CORE I7 6820HQ,32GB,NeedToBeFilled,1000GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,15.0,60Hz,Unknown,Unknown,2024,11
129999.0,NeedToBeFilled,APPLE,MACBOOK AIR,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,APPLE M1,8GB,NeedToBeFilled,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,13.3,60Hz,Unknown,Unknown,2025,7
90000.0,NeedToBeFilled,HP,PAVILION,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,AMD RYZEN 7 5700U,NeedToBeFilled,NeedToBeFilled,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,15.6,60Hz,Unknown,Unknown,2025,7
125000.0,Never Used (New),HP,PAVILION,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,12TH GEN INTEL CORE I5 1235U,16GB,DDR4,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,15.6,60Hz,1920x1080,Unknown,2025,7
500000.0,NeedToBeFilled,APPLE,MACBOOK,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,APPLE M4 MAX,32GB,NeedToBeFilled,1000GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,Unknown,Unknown,2025,6
60000.0,NeedToBeFilled,DELL,LATITUDE,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,10TH GEN INTEL CORE I5 10310U,16GB,NeedToBeFilled,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,15.6,60Hz,Unknown,Unknown,2024,12
120000.0,NeedToBeFilled,DELL,LATITUDE,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,INTEL ULTRA 5 135U,16GB,DDR5,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,Unknown,Unknown,2025,7
172000.0,Good Condition,HP,ZBOOK,NVIDIA RTX A1000,NeedToBeFilled,NeedToBeFilled,12TH GEN INTEL CORE I7 12700H,16GB,NeedToBeFilled,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,15.0,60Hz,Unknown,Unknown,2024,9
435000.0,Never Used (New),HP,OMEN,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,INTEL CORE I9 14900HX,32GB,NeedToBeFilled,1000GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,16.0,60Hz,Unknown,Unknown,2025,7
90000.0,Good Condition,ACER,ASPIRE,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,11TH GEN INTEL CORE I5 1135G7,8GB,DDR4,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,1920x1080,Unknown,2025,7
92000.0,Good Condition,LENOVO,THINKPAD,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,10TH GEN INTEL CORE I7 10510U,16GB,NeedToBeFilled,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,1920x1080,Unknown,2025,8
179999.0,NeedToBeFilled,MICROSOFT,SURFACE,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,12TH GEN INTEL CORE I7 1255U,16GB,NeedToBeFilled,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,13.0,120Hz,2560x1440,Unknown,2025,8
170000.0,NeedToBeFilled,HP,ZBOOK,NVIDIA RTX 5000 ada,NeedToBeFilled,NeedToBeFilled,INTEL CORE I7 9850H VPRO,32GB,DDR4,1000GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,17.3,60Hz,1920x1080,Unknown,2025,7
129000.0,Good Condition,LENOVO,THINKPAD,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,INTEL CORE I7 1160G7,16GB,LPDDR4X,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,13.0,60Hz,2560x1440,Unknown,2025,7
